2026-01-13 00:01:25,636 | WARNING | 00:01:25 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:26,107 | WARNING | 00:01:26 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:26,525 | WARNING | 00:01:26 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:26,839 | WARNING | 00:01:26 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:27,605 | WARNING | 00:01:27 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:28,067 | WARNING | 00:01:28 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:28,555 | WARNING | 00:01:28 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:28,996 | WARNING | 00:01:28 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:29,418 | WARNING | 00:01:29 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:29,887 | WARNING | 00:01:29 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:30,337 | WARNING | 00:01:30 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:31,263 | WARNING | 00:01:31 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:32,719 | WARNING | 00:01:32 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:35,369 | WARNING | 00:01:35 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:38,179 | WARNING | 00:01:38 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:40,510 | WARNING | 00:01:40 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:41,241 | WARNING | 00:01:41 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:42,030 | WARNING | 00:01:42 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:42,694 | WARNING | 00:01:42 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:43,421 | WARNING | 00:01:43 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:44,010 | WARNING | 00:01:44 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:44,611 | WARNING | 00:01:44 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:45,265 | WARNING | 00:01:45 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:45,953 | WARNING | 00:01:45 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:46,416 | WARNING | 00:01:46 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:46,951 | WARNING | 00:01:46 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:47,512 | WARNING | 00:01:47 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:48,001 | WARNING | 00:01:47 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:48,434 | WARNING | 00:01:48 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:48,868 | WARNING | 00:01:48 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:49,358 | WARNING | 00:01:49 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:49,893 | WARNING | 00:01:49 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:50,382 | WARNING | 00:01:50 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:50,960 | WARNING | 00:01:50 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:51,328 | WARNING | 00:01:51 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:51,649 | WARNING | 00:01:51 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:52,030 | WARNING | 00:01:52 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:52,479 | WARNING | 00:01:52 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:53,040 | WARNING | 00:01:53 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:53,549 | WARNING | 00:01:53 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:53,966 | WARNING | 00:01:53 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:54,393 | WARNING | 00:01:54 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:54,829 | WARNING | 00:01:54 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:55,241 | WARNING | 00:01:55 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:55,606 | WARNING | 00:01:55 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:56,033 | WARNING | 00:01:56 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:56,497 | WARNING | 00:01:56 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:56,926 | WARNING | 00:01:56 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:01:57,346 | WARNING | 00:01:57 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:57,756 | WARNING | 00:01:57 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:58,206 | WARNING | 00:01:58 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:58,668 | WARNING | 00:01:58 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:01:59,157 | WARNING | 00:01:59 | CRITICAL | Sudden motion jump detected
2026-01-13 00:01:59,671 | WARNING | 00:01:59 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:00,173 | WARNING | 00:02:00 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:00,703 | WARNING | 00:02:00 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:01,176 | WARNING | 00:02:01 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:01,591 | WARNING | 00:02:01 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:01,998 | WARNING | 00:02:01 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:02,415 | WARNING | 00:02:02 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:02,844 | WARNING | 00:02:02 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:03,302 | WARNING | 00:02:03 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:03,719 | WARNING | 00:02:03 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:04,118 | WARNING | 00:02:04 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:04,510 | WARNING | 00:02:04 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:04,918 | WARNING | 00:02:04 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:05,326 | WARNING | 00:02:05 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:05,695 | WARNING | 00:02:05 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:06,052 | WARNING | 00:02:06 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:06,473 | WARNING | 00:02:06 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:06,870 | WARNING | 00:02:06 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:07,241 | WARNING | 00:02:07 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:07,635 | WARNING | 00:02:07 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:08,035 | WARNING | 00:02:08 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:08,438 | WARNING | 00:02:08 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:08,853 | WARNING | 00:02:08 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:09,289 | WARNING | 00:02:09 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:09,753 | WARNING | 00:02:09 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:10,118 | WARNING | 00:02:10 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:10,510 | WARNING | 00:02:10 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:10,964 | WARNING | 00:02:10 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:11,394 | WARNING | 00:02:11 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:11,736 | WARNING | 00:02:11 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:12,148 | WARNING | 00:02:12 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:12,559 | WARNING | 00:02:12 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:12,978 | WARNING | 00:02:12 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:13,413 | WARNING | 00:02:13 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:13,812 | WARNING | 00:02:13 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:14,213 | WARNING | 00:02:14 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:14,613 | WARNING | 00:02:14 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:15,065 | WARNING | 00:02:15 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:15,427 | WARNING | 00:02:15 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:15,834 | WARNING | 00:02:15 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:16,234 | WARNING | 00:02:16 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:16,685 | WARNING | 00:02:16 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:17,103 | WARNING | 00:02:17 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:17,513 | WARNING | 00:02:17 | CRITICAL | Panic / stampede-like movement
2026-01-13 00:02:17,913 | WARNING | 00:02:17 | CRITICAL | Sudden motion jump detected
2026-01-13 00:02:18,215 | WARNING | 00:02:18 | HIGH RISK | Fast movement — possible pushing
2026-01-13 00:02:18,541 | WARNING | 00:02:18 | CRITICAL | Panic / stampede-like movement
